Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[CTH],b*tt,Detroit Mighty Clucks (DMC),Goals,0.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[HAM],Rick,Detroit Mighty Clucks (DMC),Saves,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[IRA],GoYeetYourself,Ireland Pepe Tactics (IPT),Saves,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[CTH],b*tt,Detroit Mighty Clucks (DMC),Saves,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DMC],Reek,Detroit Mighty Clucks (DMC),Saves,3.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DCU],dave,Ireland Pepe Tactics (IPT),Saves,0.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[COW],Timmy,Ireland Pepe Tactics (IPT),Saves,4.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[CTH],b*tt,Detroit Mighty Clucks (DMC),Shots,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[HAM],Rick,Detroit Mighty Clucks (DMC),Shots,3.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DCU],dave,Ireland Pepe Tactics (IPT),Shots,4.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[COW],Timmy,Ireland Pepe Tactics (IPT),Shots,2.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[DMC],Reek,Detroit Mighty Clucks (DMC),Shots,8.00,
Open Division,Thu 20 Feb 2020 09:00 PM,Ireland Pepe Tactics (IPT),Detroit Mighty Clucks (DMC),[IRA],GoYeetYourself,Ireland Pepe Tactics (IPT),Shots,3.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[HEAT],BradyB,Kansas City Cyclone (KCC),Assists,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BKLN],M0nki,Kansas City Cyclone (KCC),Assists,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BFY],systo_bfy,Bangor Yetis (BFY),Assists,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BFY],shudder_bfy,Bangor Yetis (BFY),Assists,2.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[MAL],Derek,Kansas City Cyclone (KCC),Assists,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BOS],Kacktus,Bangor Yetis (BFY),Assists,0.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[MAL],Derek,Kansas City Cyclone (KCC),Goals,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BFY],systo_bfy,Bangor Yetis (BFY),Goals,1.00,
Open Division,Thu 20 Feb 2020 09:30 PM,Bangor Yetis (BFY),Kansas City Cyclone (KCC),[BFY],shudder_bfy,Bangor Yetis (BFY),Goals,1.00,
