Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[CHA],Themattx / Matt / Crispy Canadian,Chico Chimps (CMP),Goals,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MIO],Cameron,Chico Chimps (CMP),Goals,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],Yung Crisp,Washington Airplanes (WAP),Goals,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],siko,Washington Airplanes (WAP),Goals,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[DTD],YogiBear,Washington Airplanes (WAP),Goals,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MAS],Wendy's Cashier,Chico Chimps (CMP),Goals,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MIO],Cameron,Chico Chimps (CMP),Saves,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],Yung Crisp,Washington Airplanes (WAP),Saves,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MAS],Wendy's Cashier,Chico Chimps (CMP),Saves,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[DTD],YogiBear,Washington Airplanes (WAP),Saves,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],siko,Washington Airplanes (WAP),Saves,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[CHA],Themattx / Matt / Crispy Canadian,Chico Chimps (CMP),Saves,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],Yung Crisp,Washington Airplanes (WAP),Shots,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MAS],Wendy's Cashier,Chico Chimps (CMP),Shots,4.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[DTD],YogiBear,Washington Airplanes (WAP),Shots,6.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[MIO],Cameron,Chico Chimps (CMP),Shots,6.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[SLS],siko,Washington Airplanes (WAP),Shots,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Washington Airplanes (WAP),Chico Chimps (CMP),[CHA],Themattx / Matt / Crispy Canadian,Chico Chimps (CMP),Shots,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[AA],qjared,Bolivia Bitcoin Bandits (BCB),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],FlaccidLettuce,Bolivia Bitcoin Bandits (BCB),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],TEE,Bolivia Bitcoin Bandits (BCB),Assists,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[HSCB],Pino,Winnipeg Wrath (WW),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],maki itoh,Winnipeg Wrath (WW),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],Ohgood,Winnipeg Wrath (WW),Assists,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[HSCB],Pino,Winnipeg Wrath (WW),Goals,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],TEE,Bolivia Bitcoin Bandits (BCB),Goals,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],FlaccidLettuce,Bolivia Bitcoin Bandits (BCB),Goals,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],Ohgood,Winnipeg Wrath (WW),Goals,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],maki itoh,Winnipeg Wrath (WW),Goals,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[AA],qjared,Bolivia Bitcoin Bandits (BCB),Goals,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],Ohgood,Winnipeg Wrath (WW),Saves,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[AA],qjared,Bolivia Bitcoin Bandits (BCB),Saves,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],FlaccidLettuce,Bolivia Bitcoin Bandits (BCB),Saves,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[HSCB],Pino,Winnipeg Wrath (WW),Saves,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],TEE,Bolivia Bitcoin Bandits (BCB),Saves,5.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],maki itoh,Winnipeg Wrath (WW),Saves,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[HSCB],Pino,Winnipeg Wrath (WW),Shots,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],TEE,Bolivia Bitcoin Bandits (BCB),Shots,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[AA],qjared,Bolivia Bitcoin Bandits (BCB),Shots,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],maki itoh,Winnipeg Wrath (WW),Shots,6.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[WW],Ohgood,Winnipeg Wrath (WW),Shots,1.00,
