Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Shots,0.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Shots,4.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Occelloth,Columbus Clappers (CLP),Shots,3.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),yosemite,Yippi,Georgia Glizzy Gladiators (GGG),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[GGG],Forehead [C],Georgia Glizzy Gladiators (GGG),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[DDS],LessThanDennis,Georgia Glizzy Gladiators (GGG),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[SLS],Yung Crisp,Washington Airplanes (WAP),Assists,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[AA],Rudd,Washington Airplanes (WAP),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BB],3ffxct,Washington Airplanes (WAP),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BAD],Kappa,Washington Airplanes (WAP),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BB],3ffxct,Washington Airplanes (WAP),Goals,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[AA],Rudd,Washington Airplanes (WAP),Goals,3.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[GGG],Forehead [C],Georgia Glizzy Gladiators (GGG),Goals,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[DDS],LessThanDennis,Georgia Glizzy Gladiators (GGG),Goals,3.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),yosemite,Yippi,Georgia Glizzy Gladiators (GGG),Goals,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BAD],Kappa,Washington Airplanes (WAP),Goals,0.00,
