Timestamp,Your Discord Tag,Which Region are you signing up for?,Team Name,Team Abbreviation,Team Venue,Team Logo ,Will your team be using a General Manager (GM) ?,General Manager - Discord Tag,General Manager - Steam Name,General Manager - Slap ID,Captain - Discord Tag,Captain - Steam Name,Captain - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Pick one
6/19/2026 3:12:16,ScitruS,Main Slapshot League (East),Barrie Beaver Brigade,BBB,The Dam,https://drive.google.com/open?id=11LyxaHbu_crWI5G7U5IjES5Lo6gFZGbd,No,,,,ScitruS,ScitruS,2069819,,,,Shloompa,Shloompa,979880,Calebll,SemenSlayer ,1427595,Lathyros4,Lathyros,604541,,,,Where’s my queen Kate Upton
6/19/2026 10:19:41,hitlock,Central Slapshot League,Barrie Bag Chasers,BBC,Mardi Gras Stadium,,No,,,,hitlock,hit,913017,,,,looees7,Looees,281017,bigboimanguy,Shloompa,979880,.maia._27.,maia,1269140,,,,Zendaya
6/19/2026 13:17:22,riggator,Main Slapshot League (East),Vader Starkillers East,VDSE,,https://drive.google.com/open?id=1fMIbKXK1Jr07YbwZa2fB18K7i7x3kRvA,No,,,,riggator,Rigg,1530583,,,,Lando8030,Kwispy (Cold Hands),524929,qptreyqp,qptreyqp,893565,ochase,oChase,767270,kirkanthony,grimace,524911,Rihanna
6/19/2026 13:20:43,riggator,Central Slapshot League,Vader Starkillers Central,VSKC,,https://drive.google.com/open?id=1Zj6mkUGS3EYfqug1q239jb8OoYYMsGyw,No,,,,riggator,Rigg,1530583,,,,qptreyqp,qptreyqp,893565,kirkanthony,grimace,524911,ochase,oChase,767270,Lando8030,Kwispy (Cold Hands),524929,Rihanna
6/19/2026 14:44:37,dave.,Main Slapshot League (East),Ottawa Valley Post Dingers,OVPD,Ottawa Pipework,https://drive.google.com/open?id=1wW7BjFYm3ZCOGgIoK_J1rF6wQ1RsUASu,No,,,,dave.,Dave,186,,,,Crusade_sl,Crusade,1374,Percosetz,Oblivion,1071429,,,,,,,Emily Ratajkowski
6/19/2026 14:46:18,lucacas4410,West Slapshot League,Cold Lake Hit Lits,CLHL,Ferrrda Arena,https://drive.google.com/open?id=1DwWBxlrFUK1lXkJEIyU2IrDgmbbvtjSL,No,,,,lucacas4410,lacaaas,186627,,,,hitlock,hit,913017,penguin_pro,LIT,633338,cvrsed_,Tactical Miss,1282529,,,,Rihanna
6/19/2026 16:50:44,trxy,Main Slapshot League (East),Whitby Wombats,WWB,Iroquois Park Sports Centre,https://drive.google.com/open?id=1M4H_p9fpdAsKpxRojoDi4Uas7LJiK_PZ,No,,,,trxy,Trayvon,56496,,,,nic0990.,Nic.,381872,bicknight.,bick,381871,diego3000.,diego,381869,,,,Margot Robbie
6/19/2026 16:51:01,Galalendon,Main Slapshot League (East),Vader Voltage,VOLT,The Lightning Dome,https://drive.google.com/open?id=1IQyAr7J_8X9M2Nh-uDqR5TjO6fzUjItf,Yes,Akakattack,Akakattack,1689859,,,,Wind,Wind,613713,SolaceThunders,SolaceThunders,31950,Magix,Magix,1064297,Bolty,Bolty,19642,Doug,Doug,211281,Aubrey Plaza
6/19/2026 17:57:07,EggsThink,Main Slapshot League (East),Ottawa Valley Puck Slappers,OVPS,Lester's Egg Emporium,,No,,,,EggsThink,EggsThink,417498,,,,bigsav1,Taco,321499,syy._.crazy,Syy,1506478,Lester Green#5320,BroBurgota,431751,Troy Bolton#6083,Troy Bolton,9394,Aubrey Plaza
6/19/2026 18:41:45,Galalendon,Central Slapshot League,Vader Voltage - Central,VDVC,The Lightning Dome,https://drive.google.com/open?id=1auU2G1oB0pb_ie1g3YYgmn6_z01uAh4Q,Yes,Akakattack,Akakattack,1689859,,,,Wind,Wind,613713,SolaceThunders,SolaceThunders,31950,Magix,Magix,1064297,Bolty,Bolty,19642,,,,Aubrey Plaza
6/19/2026 19:37:17,Beefus,Central Slapshot League,Barrie Belgian Waffles,BBW,Waffle Home,https://drive.google.com/open?id=1L9YpXVsULlDLTFI9oGdc25XVwZFvaY0E,No,,,,Beefus,Beefus,1354924,,,,cokezeroenjoyer49,Meatballer36,929814,Tridoxity,Tridoxity,1127790,,,,,,,Alex Wennberg 
